Album Number,Album Name,Release Date,Taylor's Musical Era,Album Instrumentation Types & Proportions,Songs Included in Album,Song Chord Progressions,Song Modes/Keys,Song Instrumentation Types & Proportions
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",A Place in This World,Unknown,Unknown,AcousticGuitar(35%)、Drums(20%)、Bass(20%)、Piano(15%)、Fiddle(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Cold as You,Unknown,Unknown,AcousticGuitar(40%)、Piano(25%)、Fiddle(15%)、Strings(10%)、Bass(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Mary's Song (Oh My My My),Unknown,Unknown,AcousticGuitar(40%)、Fiddle(20%)、Piano(15%)、Bass(15%)、Drums(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Our Song,I-V-vi-IV,G Major,Banjo(25%)、Fiddle(20%)、AcousticGuitar(20%)、Drums(15%)、Bass(10%)、Percussion(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Picture to Burn,I-V-vi-IV,G Major,Banjo(25%)、Drums(20%)、ElectricGuitar(20%)、Bass(15%)、Fiddle(10%)、DistortedGuitar(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Should've Said No,I-V-vi-IV,G Major,Banjo(25%)、Drums(20%)、ElectricGuitar(20%)、Bass(15%)、Fiddle(10%)、DistortedGuitar(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Stay Beautiful,Unknown,Unknown,AcousticGuitar(35%)、Drums(20%)、Bass(20%)、Fiddle(15%)、Piano(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Teardrops on My Guitar,vi-IV-I-V,D Major,AcousticGuitar(40%)、Fiddle(20%)、Piano(15%)、Bass(15%)、SoftDrums(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",The Outside,Unknown,Unknown,AcousticGuitar(35%)、Drums(20%)、ElectricGuitar(15%)、Bass(15%)、Fiddle(15%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Tied Together with a Smile,Unknown,Unknown,AcousticGuitar(40%)、Fiddle(20%)、Piano(15%)、Bass(15%)、Drums(10%)
1,Taylor Swift,2006/10/24,Country Era,"Acoustic Guitar (dominant), Banjo, Fiddle, Piano, Bass, Drums",Tim McGraw,I-vi-IV-V,D Major,Guitar(40%)、Banjo(20%)、Fiddle(15%)、Drums(15%)、Bass(10%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Breathe,Unknown,Unknown,AcousticGuitar(35%)、Strings(25%)、Piano(15%)、Bass(15%)、Drums(10%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Change,Unknown,Unknown,Drums(20%)、ElectricGuitar(20%)、AcousticGuitar(20%)、Bass(20%)、Strings(20%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Fearless,I-V-IV-vi,F Major,Fiddle(20%)、AcousticGuitar(20%)、ElectricGuitar(15%)、Banjo(15%)、Drums(15%)、Bass(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Fifteen,I-V-vi-IV,G Major,AcousticGuitar(35%)、Piano(20%)、Drums(15%)、Bass(15%)、Fiddle(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Forever & Always,Unknown,Unknown,Piano(25%)、Drums(20%)、ElectricGuitar(20%)、Bass(20%)、Strings(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Hey Stephen,Unknown,Unknown,AcousticGuitar(30%)、Piano(20%)、Drums(15%)、Bass(15%)、Fiddle(10%)、Percussion(10%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Love Story,I-V-vi-IV,C Major,Fiddle(20%)、AcousticGuitar(20%)、Banjo(15%)、ElectricGuitar(15%)、Drums(15%)、Bass(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",Tell Me Why,Unknown,Unknown,Fiddle(20%)、AcousticGuitar(25%)、Drums(20%)、ElectricGuitar(15%)、Bass(15%)
2,Fearless,2008/11/11,Country Era,"Acoustic Guitar (dominant), Fiddle, Banjo, Piano, Bass, Drums, a little Electric Guitar",The Best Day,Unknown,Unknown,AcousticGuitar(40%)、Fiddle(20%)、Piano(15%)、Bass(15%)、Drums(10%)
